tissueType,cellName,geneSymbolmore1,geneSymbolmore2,shortName
Immune system,B,"ENSG00000163534,ENSG00000132704,ENSG00000012124,ENSG00000138639,ENSG00000153064,ENSG00000156738,ENSG00000116191,ENSG00000104894,ENSG00000133789,ENSG00000105369",,CL_0000945
Immune system,CD4 T,"ENSG00000172005,ENSG00000138795,ENSG00000168685,ENSG00000081059,ENSG00000227507,ENSG00000104660,ENSG00000198851,ENSG00000167286,ENSG00000160654,ENSG00000139193",,CL_0000624
Immune system,CD8 T,"ENSG00000172116,ENSG00000153563,ENSG00000184613,ENSG00000167286,ENSG00000198851,ENSG00000160307,ENSG00000100450,ENSG00000160654,ENSG00000227191,ENSG00000271503",,CL_0000625
Immune system,DC,"ENSG00000198178,ENSG00000115718,ENSG00000070031,ENSG00000169432,ENSG00000105251,ENSG00000155367,ENSG00000168913,ENSG00000132514,ENSG00000239961,ENSG00000163687",,CL_0000451
Immune system,HSPC,"ENSG00000172995,ENSG00000186710,ENSG00000101200,ENSG00000163554,ENSG00000119888,ENSG00000188672,ENSG00000131016,ENSG00000112077,ENSG00000172247,ENSG00000170891",,CL_0000037
Immune system,Mono,"ENSG00000197353,ENSG00000110203,ENSG00000166523,ENSG00000104974,ENSG00000158825,ENSG00000162444,ENSG00000186074,ENSG00000171051,ENSG00000125810,ENSG00000014914",,CL_0000576
Immune system,NK,"ENSG00000189430,ENSG00000198574,ENSG00000134545,ENSG00000150687,ENSG00000117281,ENSG00000156966,ENSG00000100385,ENSG00000115607,ENSG00000143184,ENSG00000150045",,CL_0000814
Immune system,Other T,"ENSG00000144290,ENSG00000111796,ENSG00000168685,ENSG00000215788,ENSG00000069667,ENSG00000107742,ENSG00000178573,ENSG00000113088,ENSG00000152518,ENSG00000145220",,Other T
Immune system,Macrophage,"ENSG00000166211,ENSG00000121769,ENSG00000073754,ENSG00000275385,ENSG00000159189,ENSG00000173369,ENSG00000170323,ENSG00000173372,ENSG00000130203,ENSG00000250722",,CL_0000235
Immune system,Early Eryth,"ENSG00000119865,ENSG00000179348,ENSG00000005961,ENSG00000106327,ENSG00000102145,ENSG00000105610,ENSG00000170891,ENSG00000135525,ENSG00000075618,ENSG00000130208",,Early Eryth
Immune system,Late Eryth,"ENSG00000196188,ENSG00000112212,ENSG00000204010,ENSG00000188672,ENSG00000112077,ENSG00000163554,ENSG00000075340,ENSG00000119888,ENSG00000213934",,Late Eryth
Immune system,Plasma,"ENSG00000115884,ENSG00000222037,ENSG00000211640,ENSG00000048462,ENSG00000211673,ENSG00000240505,ENSG00000211685,ENSG00000167476,ENSG00000143297,ENSG00000243466",,CL_0000786
Immune system,Platelet,"ENSG00000150681,ENSG00000187699,ENSG00000088726,ENSG00000169704,ENSG00000163737,ENSG00000163736,ENSG00000153071,ENSG00000113140,ENSG00000176783,ENSG00000124491",,CL_0000233
Immune system,Stromal,"ENSG00000115461,ENSG00000047457,ENSG00000091513,ENSG00000011465,ENSG00000139329,ENSG00000164692,ENSG00000147571,ENSG00000041982,ENSG00000152583,ENSG00000112175",,CL_0000499
Immune system,Cancer,"ENSG00000026508,ENSG00000119888,ENSG00000141736,ENSG00000086205,ENSG00000111057,ENSG00000007062",,CL_0001064
