cell_type	gene_symbol	ensembl_gene_id	source
tumor	CD99	ENSG00000002586	10.1158/2767-9764.CRC-23-0027
tumor	CAV1	ENSG00000105974	10.1158/2767-9764.CRC-23-0027
tumor	CCND1	ENSG00000110092	10.1158/2767-9764.CRC-23-0027
tumor	HES1	ENSG00000114315	10.1158/2767-9764.CRC-23-0027
tumor	KDSR	ENSG00000119537	10.1158/2767-9764.CRC-23-0027
tumor	PAPPA	ENSG00000182752	10.1158/2767-9764.CRC-23-0027
tumor	STEAP1	ENSG00000164647	10.1101/2024.01.18.576251
tumor	NKX2-2	ENSG00000125820	10.1101/2024.01.18.576251
tumor	NR0B1	ENSG00000169297	10.1101/2024.01.18.576251
tumor	MAPT	ENSG00000186868	10.1101/2024.01.18.576251
tumor	PRKCB	ENSG00000166501	10.1101/2024.01.18.576251
